imdb_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,movielens_id,tmdb_id,genres,director,in_connections,out_connections,tot_connections,connected_movies
0115963,The Craft,1996,15.0,24.769466,101,6.3,388,12.860385,724,9100.0,Drama|Fantasy|Horror|Thriller,Andrew Fleming,89,10,99,0475944
0117500,The Rock,1996,75.0,335.0626209999,136,6.9,1474,13.249824,733,9802.0,Action|Adventure|Thriller,Michael Bay,172,12,184,1097079|0364621
0117998,Twister,1996,92.0,494.471524,113,6.1,966,8.739144,736,664.0,Action|Adventure|Thriller,Jan de Bont,190,15,205,N
0115571,The Arrival,1996,25.0,14.048371999999999,115,6.1,200,6.497591,748,10547.0,Action|Sci-Fi|Thriller,David Twohy,13,12,25,6189792|0122961
0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1.7999999999999998,9.440272,95,8.0,1472,9.80398,750,935.0,Comedy,Stanley Kubrick,659,7,666,N
0117331,The Phantom,1996,45.0,17.300889,100,4.7,138,8.079541,761,9826.0,Action|Adventure,Simon Wincer,28,1,29,N
0117765,Striptease,1996,50.0,113.309743,115,4.4,210,11.341502,762,9879.0,Comedy,Andrew Bergman,44,51,95,N
0116669,Jack,1996,45.0,58.620973,113,5.9,340,6.287245,765,7095.0,Comedy|Drama,Francis Ford Coppola,27,14,41,N
0117951,Trainspotting,1996,4.0,16.49108,93,7.8,2737,19.348466,778,627.0,Comedy|Drama,Danny Boyle,264,27,291,2763304
0116629,Independence Day,1996,75.0,816.9692679999999,145,6.7,3334,17.634197,780,602.0,Action|Adventure|Sci-Fi|Thriller,Roland Emmerich,534,46,580,1628841
0116277,The Fan,1996,55.0,18.626419000000002,116,5.7,202,12.202063,782,9566.0,Drama|Thriller,Tony Scott,15,7,22,N
0116583,The Hunchback of Notre Dame,1996,100.0,100.138851,91,6.8,1182,13.553999,783,10545.0,Animation|Drama|Musical,Gary Trousdale,305,7,312,0257778|9613354
0115798,The Cable Guy,1996,47.0,102.825796,96,5.7,603,7.586577,784,9894.0,Comedy|Thriller,Ben Stiller,81,66,147,N
0116778,Kingpin,1996,27.0,25.023434,113,6.7,248,11.633347,785,11543.0,Comedy,Bobby Farrelly,48,14,62,N
0116213,Eraser,1996,100.0,242.295562,115,5.6,553,6.919314,786,9268.0,Action|Drama|Thriller,Chuck Russell,41,4,45,0276941
0117218,The Nutty Professor,1996,54.0,128.769345,95,5.4,717,9.651581,788,9327.0,Comedy|Fantasy|Sci-Fi,Tom Shadyac,131,24,155,0144528|1296960|0057372
0116040,Daylight,1996,80.0,159.212469,115,5.8,385,11.995799,798,11228.0,Action|Adventure|Drama|Thriller,Rob Cohen,23,4,27,N
0116365,The Frighteners,1996,30.0,29.359216,110,6.7,413,12.09096,799,10779.0,Comedy|Horror|Thriller,Peter Jackson,41,20,61,N
0116905,Lone Star,1996,5.0,13.269963,135,6.9,79,9.069963,800,26748.0,Drama|Western,John Sayles,12,3,15,N
