imdb_id,title,year,budget,actual_budget,revenue,actual_revenue,runtime,vote_average,vote_count,popularity,movielens_id,tmdb_id,genres,director,in_connections,out_connections,tot_connections,connected_movies,0,1
400717,Open Season,2006,85.0,117.3,197.31,272.29,83,6.1,676,11.744242,48414,7484.0,Adventure|Animation|Comedy,Jill Culton,29,11,40,1107365|1646926|4938374|0400717,-0.012055009741896,0.0175361990674921
462519,School for Scoundrels,2006,20.0,27.6,17.81,24.58,100,5.6,112,10.725567,48416,9842.0,Comedy,Todd Phillips,1,7,8,0054279|0462519,0.0130100132149625,-0.0209592719989356
407887,The Departed,2006,90.0,124.2,289.85,399.99,151,7.9,4455,18.515448,48516,1422.0,Drama|Thriller,Martin Scorsese,203,20,223,2319889|6051216|0338564|0369060|0374339|0407887,-0.0061506223271136,-0.0170628959290321
424993,Employee of the Month,2006,12.0,16.56,38.37,52.95,103,5.4,156,8.596352,48520,9794.0,Comedy,Greg Coolidge,8,12,20,0424993,0.0238870234383264,-0.0025944536600279
457495,Stormbreaker,2006,40.0,55.2,23.94,33.04,93,5.1,219,8.778999,48522,9978.0,Action,Geoffrey Sax,10,12,22,0457495,0.0174760392538764,0.0174354936070757
439289,Running with Scissors,2006,12.0,16.56,6.75,9.32,116,5.8,80,4.926507,48560,7510.0,Comedy|Drama,Ryan Murphy,10,5,15,0439289,-0.0155567877087144,0.0047037590012071
433386,The Grudge 2,2006,20.0,27.6,39.14,54.01,102,5.3,288,6.768804,48591,1975.0,Drama|Horror|Thriller,Takashi Shimizu,17,5,22,1053859|3612126|0391198|0433386,0.0070817293755881,-0.013242012903895
483726,Man of the Year,2006,20.0,27.6,41.24,56.91,115,5.8,129,7.018483,48593,9895.0,Comedy|Thriller,Barry Levinson,13,15,28,0483726,-0.0009853501145922,-0.0018375136809292
419946,The Marine,2006,20.0,27.6,22.17,30.59,92,5.0,165,6.679168,48596,8975.0,Action|Drama|Thriller,John Bonito,28,6,34,1266027|2334841|3528666|5781798|7668724|0419946,0.0055577760211022,-0.005493979262712
420609,Infamous,2006,13.0,17.94,1.15,1.59,110,6.4,60,5.169999,48598,9672.0,Drama,Douglas McGrath,7,3,10,0420609,0.0205598319398742,0.0025809915598807
430431,One Night with the King,2006,20.0,27.6,13.39,18.48,123,6.1,12,3.660528,48600,15005.0,Drama,Michael O. Sajbel,2,0,2,0430431,-0.0086761868754678,-0.0199316539101198
404203,Little Children,2006,26.0,35.88,14.82,20.45,136,6.9,243,7.311148,48696,1440.0,Drama,Todd Field,16,4,20,0404203,-0.0163409491148802,-0.0165777326898514
805526,Facing the Giants,2006,0.1,0.14,10.18,14.05,111,6.6,64,7.485908,48711,18925.0,Action|Drama,Alex Kendrick,2,2,4,0805526,-0.0075091546212747,0.0004871812405187
455590,The Last King of Scotland,2006,6.0,8.28,48.03,66.28,121,7.4,568,9.424157,48738,1523.0,Drama|Thriller,Kevin Macdonald,37,2,39,0455590,-0.0043534219331787,-0.0163154720865345
367027,Shortbus,2006,2.0,2.76,5.18,7.15,101,6.3,141,11.547748,48744,1378.0,Comedy|Drama,John Cameron Mitchell,20,2,22,0367027,-0.0169960099039318,0.0033132437316336
206634,Children of Men,2006,76.0,104.88,69.96,96.54,109,7.4,2120,14.114606,48774,9693.0,Action|Adventure|Drama|Sci-Fi|Thriller,Alfonso Cuarón,82,11,93,0206634,0.002430102039204,0.0027927103442385
482571,The Prestige,2006,40.0,55.2,109.68,151.36,130,8.0,4510,16.94556,48780,1124.0,Drama|Sci-Fi|Thriller,Christopher Nolan,75,0,75,0482571,-0.0087883412951524,-0.0158283097634526
